id,developer,publisher,gallery,video,supportedOperatingSystems,genres,globalReleaseDate,isTBA,isDiscounted_main,isInDevelopment,releaseDate,availability,salesVisibility,buyable,title,image,url,supportUrl,forumUrl,worksOn,category,originalCategory,rating,type,isComingSoon,isPriceVisible,isMovie,isGame,slug,isWishlistable,ageLimit,boxImage,isMod,currency,amount,baseAmount,finalAmount,isDiscounted,discountPercentage,discountDifference,isFree,discount,promoId,filteredAvgRating,overallAvgRating,reviewCount,isReviewable,reviewPages,dateGlobal,dateReleaseDate
4,Volition,Interplay,"['//images-4.gog-statics.com/4e4c85f81ebb0f1a15f6e41506dffc8e0edae4fbe4dbaf19240ca1374ccd2b1b', '//images-4.gog-statics.com/4648c7e39d4a51fe90738a6c1e0cc8abf8ef91cea05adab12d06ddbd2e5ccd20', '//images-3.gog-statics.com/041d785e79cd22e83bfd14457be313bbff19ff464fffdb109d720ed6de9a3571', '//images-3.gog-statics.com/e6f843ea91d39976a515b37847a4c139c55ac0c9263887246011edafe9030acf', '//images-2.gog-statics.com/e5de50fee8ce3bf3177056b38e8455de1e52a6f51a88ec887762eb28d8f54d0a', '//images-1.gog-statics.com/d69d5a4a89838f944fa2900472029bb0862f0723d822e4c19cff77b28b21c1e2', '//images-1.gog-statics.com/016713139551425745bcac26e12f1b5a28db6b581fc18c77dc7616402b4e8a58', '//images-2.gog-statics.com/4e5ec5de8586b0bd744421ec7158d3e538c0953252b887621af4a52e1711c310', '//images-1.gog-statics.com/50960e76a0225d33bc7986a8c5afce35167d0e04ac7e9d84c602bf5f0a8ca7ff', '//images-2.gog-statics.com/c895c674caa0b9e6c687b20100ce164e872e37ef4d744bd203e73c6c68e04a41', '//images-3.gog-statics.com/acd282aa47dc565d43ec97b17946d8bfef54fa821562b4d29bcafa1f901be59e', '//images-2.gog-statics.com/d550d26ff0e94fe9b5d24c1fbe465d72d57a489f849a9c4179945c62be65dd85']",,['windows'],"['Simulation', 'Combat', 'Sci-fi']",889653600,FALSE,FALSE,FALSE,889653600,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '2008-07-15 00:00:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 1216069200, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,Descent: Freespace Battle Pack,//images-1.gog-statics.com/58e9a905ef59d7a9882ccad71bd4af68c3288679c64d829b6e30ae32d7a2e953,/en/game/freespace_expansion,/support/freespace_expansion,/forum/freespace_series,"{'Windows': True, 'Mac': False, 'Linux': False}",Simulation,Simulation,47,1,FALSE,TRUE,FALSE,TRUE,freespace_expansion,TRUE,0,//images-1.gog-statics.com/d4e378f9718a445801d36ac65fd557c479696e2f65e399a37d5872449205a489,FALSE,EUR,9.99,9.99,9.99,FALSE,0,0,FALSE,0,,4.4,4.7,117,TRUE,11,3/11/1998 22:00,3/11/1998 22:00
5,Volition,Interplay,"['//images-2.gog-statics.com/1f3d26426fba87f0918a1e0e3581f3a516a55e654ee2f0f45f4dd962dc84261f', '//images-4.gog-statics.com/a948d636c1abb9c94af3c3b4471af41365f51ae9f3ecd9ce15dc8d4bfb3fb1ed', '//images-4.gog-statics.com/d503ed5a5588822b49be31aa778f07ccddb8b3309be90caa39e591be3df1e932', '//images-4.gog-statics.com/ddf32016b6e12a5f06a46b3895565461d2a07b65e148e0eb95af69f98f956ca5', '//images-2.gog-statics.com/1c7714dcad30003d056ec900d7cd17c2cd77f40a6e7893a73964b4b09ad9482d', '//images-2.gog-statics.com/c8aafa9d381a4edb0f67fe9b75dcd7cb798c9f01123661177f6a850179aa12b9', '//images-4.gog-statics.com/521fc80b3682a244c0b090745e8af9d82546eeb807d165081f189b6b94d7ee25', '//images-1.gog-statics.com/5233450f76eb45b5d72607a7c744105184424635eb46707d51433a6bfd0dc959', '//images-3.gog-statics.com/4d15a0542b67536b5f93cae6ed270953d1800991610491ded7f9cd36bc30c798', '//images-1.gog-statics.com/9b6643f4d9201abbce41f4eace1f9da4e1292028ad78413893b272fd06667878', '//images-2.gog-statics.com/64862166f89a5f1211b57af54bf402e6beb6dd7e84aaaec174f0c3f9401a5f60', '//images-3.gog-statics.com/bfc35029c8dbda068129844f7efc62cfff6c9820f92d457e3d262b37c00f8b22']",,['windows'],"['Simulation', 'Combat', 'Sci-fi']",938638800,FALSE,FALSE,FALSE,938638800,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '2008-07-15 00:00:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 1216069200, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,Freespace 2,//images-1.gog-statics.com/d73f470c34ac19b3f35638d177689507d2663d9974c0b3ff4e5c6e733f916e2d,/en/game/freespace_2,/support/freespace_2,/forum/freespace_series,"{'Windows': True, 'Mac': False, 'Linux': False}",Simulation,Simulation,48,1,FALSE,TRUE,FALSE,TRUE,freespace_2,TRUE,0,//images-4.gog-statics.com/a2b5eb782fb671213238dcb481359dfaf13083cac50348ce77440c09e61aff3f,FALSE,EUR,9.99,9.99,9.99,FALSE,0,0,FALSE,0,,4.6,4.8,328,TRUE,31,9/29/1999 21:00,9/29/1999 21:00
6,Shiny Entertainment,Interplay,"['//images-1.gog-statics.com/1c95f819fe0d6e7596d7aa18bff304e30e0c9ef0ed74747130c9cd0f28d8d359', '//images-2.gog-statics.com/91f37155e8a4924662f8b12a76cf13757da9f4f6ac4e341c84bcf1263bf25c50', '//images-2.gog-statics.com/5612f64500ecfd73c1b36105c8b4015c1be861b83acced51cac4c1c709869790', '//images-2.gog-statics.com/2832d1367ca1a670ebdcbd69efc9633a6e6f65f9b373b316fe6eac143976de4d', '//images-3.gog-statics.com/642d6c84945ceb9618e436737ab7cbe002a734354eed0855e0fee0080361c4c2', '//images-4.gog-statics.com/8c9554273d546820f9c23775d54e454287a57f3080c1ad530902f617c6dba1e7', '//images-3.gog-statics.com/15b1863ec63e524e5403c030a1f69da7e09c6a7b8ee969487472e227496c7707', '//images-2.gog-statics.com/d9d882f9b59b3f7fb260b416a536fd1dfd8404c32dc0be6de10b515df0aea0e8', '//images-1.gog-statics.com/f3e4498de6671edbd4671f2c38b7f7ca09bad26b63b275bf0f5e5a4992aca6fc', '//images-3.gog-statics.com/240264d8bccf2fa944b6fd6ceb94557bbad8cd68bcdc214af3955eeda4f075df', '//images-2.gog-statics.com/d007df4dfafb048426ea4ca93e4c68b28ee021994445d01f61f00124e4ba22dd', '//images-2.gog-statics.com/0f5f677d203f95b6c91c69be410300ba340f630299300e7fae7e38b7b7ba7618']",,['windows'],"['Action', 'TPP', 'Sci-fi']",862347600,FALSE,TRUE,FALSE,862347600,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '1991-12-25 00:00:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 693612000, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,MDK,//images-3.gog-statics.com/c02a5a3b627f4682a672f14b716334a9b37acc554308852396c3b6fc89ee405d,/en/game/mdk,/support/mdk,/forum/mdk_series,"{'Windows': True, 'Mac': False, 'Linux': False}",Action,Action,44,1,FALSE,TRUE,FALSE,TRUE,mdk,TRUE,12,//images-3.gog-statics.com/6608c66b45160cdf653b2cd204be11ed0dd4f018133ff4232f8a66cd43e54be4,FALSE,EUR,7.99,9.99,7.99,TRUE,20,2,FALSE,20,2025_summer_sale_1,4.2,4.4,148,TRUE,14,4/29/1997 21:00,4/29/1997 21:00
7,Shiny Entertainment,Interplay,"['//images-3.gog-statics.com/ff4266f81aa88127cc7e93dbf409f0315cc4fea6048761f31795cb1a9feebd69', '//images-2.gog-statics.com/f08c7024baf779228ee70c6edd2eb1de36a89340ef3fb279f11af33597d7f2a6', '//images-2.gog-statics.com/69ea7c5c9b671c17c1fe35d464e5387fe12e636ea7c0c7dcd1d2000160247632', '//images-1.gog-statics.com/75c7282f70a6b86d6da14eca5da9fb749240d2a1d8a4e70ebe0053966d493faf', '//images-2.gog-statics.com/152e12d8ded1bee37b67442be42e5d2f539075110c56ab12e1ff790ca793c30f', '//images-4.gog-statics.com/b0efcbbd855559d8f2b856878c64521fc38c4c0ccfedd3956ed7b2049a16f37e', '//images-1.gog-statics.com/20ba5ca3654f03d0ede11405c457a033ad04a8f61812707ce5dee581cf5f8af0', '//images-2.gog-statics.com/c07e77fa0751f9b9f1fd32887e0ca6ccf8c932e961cf55389dc5d8182caef561', '//images-4.gog-statics.com/1e41fbdd5973635a894f4096b30e8750988f442703accd79163bc89ca1ec84bb', '//images-1.gog-statics.com/9409cfc425b4ea9dc52190db4cc5d0da847c5a52b2e48d5aa78023d02b7b0902', '//images-4.gog-statics.com/97804b430e3789432f2c4544e7e0a87ac5769d655c64d602640fccd730768529', '//images-3.gog-statics.com/bc3abe12ccd769c11a52ac5c97f031b36298a6ed5fe0d6e77245ff93a38e6d46']",,['windows'],"['Action', 'TPP', 'Sci-fi']",954450000,FALSE,TRUE,FALSE,954450000,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '2008-07-15 00:00:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 1216069200, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,Messiah,//images-2.gog-statics.com/c4b3a466c8925326b5f8a887728ba1be2a6103593e52e245f8f27ef507bc4d1a,/en/game/messiah,/support/messiah,/forum/Messiah,"{'Windows': True, 'Mac': False, 'Linux': False}",Action,Action,37,1,FALSE,TRUE,FALSE,TRUE,messiah,TRUE,0,//images-4.gog-statics.com/b4054ca4fdfc568f35d0f96ddf8073db9d76b159df3975ae1826f3a716a6f6f7,FALSE,EUR,11.99,14.99,11.99,TRUE,20,3,FALSE,20,2025_summer_sale_1,3.1,3.7,57,TRUE,6,3/30/2000 21:00,3/30/2000 21:00
8,Reflexive Entertainment,Interplay,"['//images-4.gog-statics.com/2c52160c1e93776e24e84b908eed19ced93bb4cc8bb492b3db6e41349a74a584', '//images-2.gog-statics.com/d1853c3d870c3d90361fb7bd8e42fd642e066e0536cc8c5ab2c009c706232dd4', '//images-4.gog-statics.com/5d2a7c7c4a99a71cb05bc1df396897140a75c732655525d30808bce5bb2b4e03', '//images-2.gog-statics.com/2ccf91c383e3082791166d847f660a840adf4361d6b88f2f61a53580d3f4237a', '//images-3.gog-statics.com/98b836d697053dabfca7b16ece9c3f47ff6b471366f1daf82202615303fdd849', '//images-4.gog-statics.com/54172e272095cc8b3bf2905aa4a90059d31e13623987cda01c0068818e554877', '//images-1.gog-statics.com/a6d0138edf8bb292fb76d298cf2a7e0f98d8b59a29626ef9a5005793950ca329', '//images-1.gog-statics.com/49de9251709ca8a39e093ce4809015cd6c0dbcc036901cde31b8b9087d8602d2', '//images-3.gog-statics.com/1eacadd200590c9ac04a0582dc43d2688aff9402a42d242cfadf9f9210e468bc', '//images-1.gog-statics.com/70dc7e41e3d7bcf4fd21bd8dfbf7ffcb6a1c79623457fc1ce3be36a7f1b2a4c9', '//images-4.gog-statics.com/64217d93d6bb9b67b73ed1e84da748e810e484d3583205c5ae39dedd1b5154c2', '//images-3.gog-statics.com/15c073d7aa7f988eb0ce38f13656c8932ae8a564a9dc8171c7663588d63e2278']",,['windows'],"['Role-playing', 'Adventure', 'Fantasy']",1060722000,FALSE,TRUE,FALSE,1060722000,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '2008-07-15 00:00:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 1216069200, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,Lionheart: Legacy of the Crusader,//images-3.gog-statics.com/ae76710bc8824fb60d2e4b9c35f3c374f99a32c74e3800910d72be4a61adf743,/en/game/lionheart_legacy_of_the_crusader,/support/lionheart_legacy_of_the_crusader,/forum/Lionheart_Legacy_of_the_Crusader,"{'Windows': True, 'Mac': False, 'Linux': False}",Role-playing,Role-playing,35,1,FALSE,TRUE,FALSE,TRUE,lionheart_legacy_of_the_crusader,TRUE,16,//images-4.gog-statics.com/90508b21298069c9ae7d43d1acb92cd37d42d9b6f0d006d870e15a2e67cd8667,FALSE,EUR,7.99,9.99,7.99,TRUE,20,2,FALSE,20,2025_summer_sale_1,3.3,3.6,75,TRUE,7,8/12/2003 21:00,8/12/2003 21:00
9,Xatrix Entertainment,Interplay,"['//images-3.gog-statics.com/0b2255f1babea91192e1c48e563c4797d0b43fea55b00da42873a0cd299fd45f', '//images-2.gog-statics.com/c41fcb32aa9a638181e15fa7efb20cd1d00de2ab445e2ef42059313714d9fe7e', '//images-1.gog-statics.com/2805bdae232a2e97a1926b6701a9db852cca5ebd603b2710128980360c5f5b18', '//images-1.gog-statics.com/6ad8c7ed82144e4369078c95156b01701b6ef2621f9cad72271e114fe2d3e372', '//images-4.gog-statics.com/0d50333939e2d37bd5a0b57aaa6e84ede5d6d25abc4a537e97c3eaada56f79ca', '//images-3.gog-statics.com/b8d36ddcc9dc84da16ca34626aaf5f6db5c0f09fa4ec974d230033f557ce652c', '//images-1.gog-statics.com/79044fec40ad042e5459befe478b3aef2e1ac3070b35aa84c9251fa19e0c8c4f', '//images-2.gog-statics.com/110315fb9d4948d4a14596520f4fead13f2f41b116b3e2f1eca88a196e45f41a', '//images-1.gog-statics.com/ff1289583047db79479d22d1e2fefdf133ff7af22a76b9eb2ac79ab4bfb815fd', '//images-2.gog-statics.com/0a3e696411aacfa335b0174843788202cec8c8d01d92570fb0d47ecb4a57a193', '//images-3.gog-statics.com/837a03132ac6f8094e90a4f3a06213f359904142c03ee14fc576bc5d3d34ff69', '//images-1.gog-statics.com/5c7db1feca388ad02d35f4968b51742b1ade91c9cbb6874499f3e8b8fe1d35c0']",,['windows'],"['Shooter', 'FPP', 'Modern']",930690000,FALSE,TRUE,FALSE,930690000,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '2008-07-15 00:00:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 1216069200, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,Kingpin: Life of Crime,//images-1.gog-statics.com/46be11273ec3b4be47c4d74086e76a7dff2ed59b31c83d94e7509dcabfdd4a1a,/en/game/kingpin_life_of_crime,/support/kingpin_life_of_crime,/forum/Kingpin_Life_of_Crime,"{'Windows': True, 'Mac': False, 'Linux': False}",Shooter,Shooter,39,1,FALSE,TRUE,FALSE,TRUE,kingpin_life_of_crime,TRUE,16,//images-4.gog-statics.com/59d62c9defae238c4133184ae99731a0b1fc8a5dd27a0c4cfa9276e47f429d8a,FALSE,EUR,7.99,9.99,7.99,TRUE,20,2,FALSE,20,2025_summer_sale_1,3.3,3.8,98,TRUE,10,6/29/1999 21:00,6/29/1999 21:00
10,Interplay,Interplay,"['//images-4.gog-statics.com/9f2e92189951eaa984780e5accf6a5e66bf4525ec17583cc6c135ef2f81a8398', '//images-4.gog-statics.com/6f44ae4427485a5cf66d16118ce5eaa486f6b9c35962a2559b9618f9b2ad2886', '//images-4.gog-statics.com/cd83255cdcc28622815be3dc901c88b7ae51e9e50c8d42a2bbb07daad1a0129f', '//images-1.gog-statics.com/efa8f621de34d8dcddfe368acc77000342fac54f6b935176b13b8566ea5735b9', '//images-3.gog-statics.com/098cd9a4745e7e2b2464c1e0b5bf607cd5e36c06bcc9bb532230cad421940fbd', '//images-2.gog-statics.com/762f07ec9eebdd14887e872a562e778fe571961134c65591edc8e5dc14164aba', '//images-1.gog-statics.com/71ce49e8463524ab4be8fe0a3fb6ff1885e4651efca11d8fbf0208716c7411b9', '//images-1.gog-statics.com/d2c31404227550d46940ae6656bf65f55a8da3abc6263e7141ea0fbd62ec1962', '//images-2.gog-statics.com/43ca5325633adc6d717eb3645130313ae9d5eea5312a6caa2b58f7e5a62fb401', '//images-4.gog-statics.com/9f771d254f2186edc87d18be56eac0c77d2a6d4a80706d459b1e1b9f1d5a9e12', '//images-3.gog-statics.com/a9ebf7d993a444290b5651db808ee546a0a2c231c849226bd42c1d84d43e5f48', '//images-2.gog-statics.com/2fd351b3e3c94d6c029b4046010adf3cccb241d1b1c31c3db54e7db9404464e0']",,"['windows', 'mac']","['Strategy', 'Turn-based', 'Sci-fi']",901832400,FALSE,TRUE,FALSE,901832400,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '2008-07-15 00:00:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 1216069200, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,M.A.X. + M.A.X. 2,//images-2.gog-statics.com/ad610d9778da100670856989e39984542b1f7b26a0f94edd9984a80f79ba2b98,/en/game/m_a_x_m_a_x_2,/support/m_a_x_m_a_x_2,/forum/m_a_x_series,"{'Windows': True, 'Mac': True, 'Linux': False}",Strategy,Strategy,43,2,FALSE,TRUE,FALSE,TRUE,m_a_x_m_a_x_2,TRUE,0,//images-1.gog-statics.com/a566afbc0c1a4934eaf43213a0aa3e657778825699284323b27521247601ac51,FALSE,EUR,8.49,12.09,8.49,TRUE,30,3.6,FALSE,30,2025_summer_sale_1,4.3,4.3,65,TRUE,6,7/30/1998 21:00,7/30/1998 21:00
1073747344,Anomaly Games,"Anomaly Games, Wings","['//images-3.gog-statics.com/b1e8b7830bc5e05760cf470a44b950e027d5a827071439f9abb65385122dcbc9', '//images-2.gog-statics.com/237eab298e664c0b1dd98f4707f08073969137f49a0feebad2b20c38776dc16c', '//images-4.gog-statics.com/7005f362c5908a7da7e5f8b46ef11a1c5ddf4d1380a8c7f711c101a2e96293e6', '//images-2.gog-statics.com/72026e7364694b707fc438936bcfe2f75c78bb37489cba24b0a993220a0f00d6', '//images-1.gog-statics.com/65fcfd9b94bb080b33536fe6cb6b7c286ca7f0ac63cb97b2a37c3040553459ac', '//images-1.gog-statics.com/4e65c0ff053d1f7d44f63a8085f653e196d799c3f7ce99f3c73f352e18eeb79a', '//images-4.gog-statics.com/6a9db1997f2dd44b4a1507090cf2fd2f602d6e664a823ae61ccdaafe39f3234e', '//images-2.gog-statics.com/0b6ac125c18073fddd69d864f2ac73b1bc12e5f5e87384bce9f447a549709220', '//images-3.gog-statics.com/dc22c0933f4599c18c893d5cc86a05ef9f7577c38da5dcb1169dfa60345393ae', '//images-4.gog-statics.com/9ef51fd06f737c6eca4e298ea573aae49eafa78ccc94a1dcc1520abf7567c4c8']",,['windows'],"['Simulation', 'Strategy', 'Narrative']",1647295200,FALSE,FALSE,FALSE,1647295200,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '2022-03-14 03:50:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 1647222600, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,The Fermi Paradox - Soundtrack,//images-1.gog-statics.com/2071587a40279265566eabd1bb0c38fd26b86a3d977a9c18675ad9d4d71b82f7,/en/game/the_fermi_paradox_soundtrack,/support/the_fermi_paradox_soundtrack,/forum/the_fermi_paradox,"{'Windows': True, 'Mac': False, 'Linux': False}",Simulation,Simulation,0,3,FALSE,TRUE,FALSE,TRUE,the_fermi_paradox_soundtrack,TRUE,0,//images-1.gog-statics.com/374670baccf7c52c5ee05562883faa8670e30b062bec0ae391ab7db0667d423e,FALSE,EUR,8,8,8,FALSE,0,0,FALSE,0,,0,0,0,TRUE,0,3/14/2022 22:00,3/14/2022 22:00
1073861653,ROCKFISH Games,ROCKFISH Games,"['//images-1.gog-statics.com/9329c7ad521cf2792c2519b6db0fbb1ea0cd53327daedb9c79b39d15f72aa36b', '//images-1.gog-statics.com/ff05605b5cfc3fff860dc08605db47c374abeee624b2dbc1802a6e60777dc930', '//images-2.gog-statics.com/3ceb8eddb6ebd1dfddf1f966b016ef374ca9aaa8bbcd4cc1ae862a8ecda4d66d', '//images-3.gog-statics.com/b95beb777026c5ecb3be241c91b53b51769708d5d300f281ecc582db145c16b2', '//images-3.gog-statics.com/72eabd5b87a7093b1ae6b80923ef7b854b333d009e57fb6599f0be08e24c57ea', '//images-3.gog-statics.com/4876798662350f28ddc4b41bc00bd5f51440f83e7386f86a77ce572900fd98a7', '//images-1.gog-statics.com/c65f7e88c701aa4566c59a4daacecd2acd55417847a5cb6e3d78fd230867fbb5', '//images-2.gog-statics.com/73ee8dd64157a02502d6b18ba80cb388db7d20a72976dc3fd9b5f4f7998e0753', '//images-2.gog-statics.com/98b2c9fa47a0def76aca42ac63fd04d0804436119dc836cd1c5b9bd866df57a3', '//images-4.gog-statics.com/c6f685ae30faae368f1bfa7d93b740fbc7c33d922bdc1f844543ebb18bdbf557', '//images-1.gog-statics.com/4aac0bcc245923883ad6ba79323ead54224b56600311630c6945ccadc671f3f7', '//images-1.gog-statics.com/c5fe11f6cc767a5ac15c8735dd7b86e8189bba146caa887079840d8f4ee3fd5f', '//images-1.gog-statics.com/14e7e317fe31639844919fa335e2e496115bae78b32028cfaddee56b4b1daa6c', '//images-2.gog-statics.com/0d593141bf7b3e028b24ecc35008e785a81a129e48d15366a7f3074d05d38638', '//images-4.gog-statics.com/f1f005289404bae0dc1de2aa91e14118986d2b3da0ca8bf9a9432b4089f925a3']","{'id': 'i0oZsyBE3ug', 'provider': 'youtube'}","['windows', 'mac']","['Role-playing', 'Action', 'Sci-fi']",1714338000,FALSE,TRUE,FALSE,1714338000,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '2024-08-21 08:55:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 1724219700, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,EVERSPACE™ 2 - Supporter Pack,//images-3.gog-statics.com/8a8b3d519e0e1c8388f3de59ad3ea9964791a49bfe4a5cce530bbe36131ca879,/en/game/everspace_2_supporter_pack,/support/everspace_2_supporter_pack,/forum/everspace_2,"{'Windows': True, 'Mac': True, 'Linux': False}",Role-playing,Role-playing,0,3,FALSE,TRUE,FALSE,TRUE,everspace_2_supporter_pack,TRUE,0,//images-1.gog-statics.com/f76426e3a4ac1a5a40ebefd7c090f01764e8485539483a5d0573e86f748e91fc,FALSE,EUR,7.99,9.99,7.99,TRUE,20,2,FALSE,20,2025_summer_sale_2,0,5,1,TRUE,0,4/28/2024 21:00,4/28/2024 21:00
1073954123,Killerfish Games,Killerfish Games,"['//images-4.gog-statics.com/80e1f45320ea2d80bd75b7625cfbc0b6d5e676e1ac568484368eebf00951b671', '//images-1.gog-statics.com/4262b97789428fbb705e693262e6b6c1e98460807d29b2e44bb3c0bfe82814a6', '//images-2.gog-statics.com/d56281aae0204b3319342500821e95de004dd29f8ace2543c8ad689d9e20079f', '//images-4.gog-statics.com/c560b0154fd238483b86aca05daf45e64ad2085c1362b026dd05a8a0dfdb7ccd', '//images-4.gog-statics.com/35b7bf52ef56753caf5a341fea68baecd9f3d0ed30c383081ce9cb269c5fb97e', '//images-1.gog-statics.com/ef009080e72a155fc3c1e831fc4684fd2897e2a836e4c5c83c876c60fd3aef8e', '//images-2.gog-statics.com/fc8aac75810c14b84af81beebfd9c14c186bbaac5c514c2907fb9ecbd67f6091', '//images-2.gog-statics.com/5293a385deb0526a66b730ef7f571e56b57823e972fb0db1731ccad6e5ea64d4', '//images-1.gog-statics.com/423b6e9ed21dafc9f70ba468b1a69d4dc203a755597837e66d2ca7f50d3b2d08', '//images-4.gog-statics.com/cfe2218971ae790451b3447f58589327e8fc2d4a07694c64ca30e2a5fd048c4b', '//images-2.gog-statics.com/f55093f04fa2b78f4c59ac3633825093c5a1013459a701cf3c0568fbc81b61f2', '//images-1.gog-statics.com/1f292a42d377b06715cb315a65229c31e5b1cd1310fa14ef3db32b314e7fd67a']","{'id': 'LeKrU8bqzLI', 'provider': 'youtube'}",['windows'],"['Simulation', 'Strategy', 'Naval']",1456351200,FALSE,TRUE,FALSE,1456351200,"{'isAvailable': True, 'isAvailableInAccount': True}","{'isActive': True, 'fromObject': {'date': '2018-01-04 15:50:00.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'from': 1515073800, 'toObject': {'date': '2037-12-31 23:59:59.000000', 'timezone_type': 3, 'timezone': 'Europe/Nicosia'}, 'to': 2145909599}",TRUE,Atlantic Fleet,//images-3.gog-statics.com/307370ab758fbd08bb6dcef7472926134f2f714e5a71ee00d87581d6836280dd,/en/game/atlantic_fleet,/support/atlantic_fleet,/forum/atlantic_fleet,"{'Windows': True, 'Mac': False, 'Linux': False}",Simulation,Simulation,40,1,FALSE,TRUE,FALSE,TRUE,atlantic_fleet,TRUE,0,//images-3.gog-statics.com/2716c917d9e1bd42e872dbcf3244032a99f16b9bf85e7db3b4cc362a74502fba,FALSE,EUR,4.99,9.99,4.99,TRUE,50,5,FALSE,50,2025_summer_sale_2,4.1,4,30,TRUE,3,2/24/2016 22:00,2/24/2016 22:00
